speakerid,mean_sim,lastname,firstname,chamber,state,gender,party,district,nonvoting,session
82090841,0.00252337479080895,CAIN,HARRY,S,WA,M,R,,voting,82
82090961,-0.0240068003853716,BREWSTER,RALPH,S,ME,M,R,,voting,82
82091061,-0.023353279132541,CONNALLY,THOMAS,S,TX,M,D,,voting,82
82091151,-0.046834743359899,ECTON,ZALES,S,MT,M,R,,voting,82
82091481,-0.0224680294035514,KEM,JAMES,S,MO,M,R,,voting,82
82091541,0.043077802155137,LODGE,HENRY,S,MA,M,R,,voting,82
82091651,-0.000679966608530184,MCFARLAND,ERNEST,S,AZ,M,D,,voting,82
82091681,-0.0336153158568945,MCKELLAR,KENNETH,S,TN,M,D,,voting,82
82091771,-0.0570795435748817,OCONOR,HERBERT,S,MD,M,D,,voting,82
82092041,-0.0322796943333333,VANDENBERG,ARTHUR,S,MI,M,R,,voting,82
82092121,-0.012326545425687,BENTON,WILLIAM,S,CT,M,D,,voting,82
82092211,-0.0071063438,CHAPMAN,VIRGIL,S,KY,M,D,,voting,82
82092251,-0.0514606777082119,CORDON,GUY,S,OR,M,R,,voting,82
82092331,-0.0525613071089102,FERGUSON,HOMER,S,MI,M,R,,voting,82
82092341,-0.00771484864234043,GILLETTE,GUY,S,IA,M,D,,voting,82
82092411,-0.028466924372589,HENDRICKSON,ROBERT,S,NJ,M,R,,voting,82
82092441,-0.0325834962735469,HUNT,LESTER,S,WY,M,D,,voting,82
82092471,-0.0627950981259148,JOHNSON,EDWIN,S,CO,M,D,,voting,82
82092621,-0.0402786246614032,MAYBANK,BURNET,S,SC,M,D,,voting,82
82092901,-0.0171482425106636,WHERRY,KENNETH,S,NE,M,R,,voting,82
82092971,-0.0146835466315789,CLEMENTS,EARLE,S,KY,M,D,,voting,82
82092981,-0.0643597423376471,SMITH,WILLIS,S,NC,M,D,,voting,82
82092990,-0.0417054237142857,AANDAHL,FRED,H,ND,M,R,0,voting,82
82093000,-0.0879548676,ALLEN,ASA,H,LA,M,D,8,voting,82
82093010,-0.00249968035652174,ANDERSON,JOHN,H,CA,M,R,8,voting,82
82093020,0.0185336398298837,ARMSTRONG,ORLAND,H,MO,M,R,6,voting,82
82093030,-0.06126128994375,BAKEWELL,CLAUDE,H,MO,M,R,11,voting,82
82093040,-0.0587559520708333,BATES,JOSEPH,H,KY,M,D,8,voting,82
82093050,0.0010780819,BLACKNEY,WILLIAM,H,MI,M,R,6,voting,82
82093060,0.00780006641470588,BOSONE,REVA,H,UT,F,D,2,voting,82
82093080,-0.01366257825,BREHM,WALTER,H,OH,M,R,11,voting,82
82093090,0.016898809,BUCHANAN,FRANK,H,PA,M,D,33,voting,82
82093100,-0.0614287074977778,BUFFETT,HOWARD,H,NE,M,R,2,voting,82
82093110,-0.0824849691769231,BURTON,CLARENCE,H,VA,M,D,6,voting,82
82093120,-0.0316594268333333,BUTLER,JOHN,H,NY,M,R,44,voting,82
82093130,-0.0382211804846667,BYRNE,WILLIAM,H,NY,M,D,32,voting,82
82093140,0.00606847038709677,CLEMENTE,LOUIS,H,NY,M,D,4,voting,82
82093150,-0.0651799153495146,COLE,ALBERT,H,KS,M,R,1,voting,82
82093160,-0.0530866580153846,COMBS,JESSE,H,TX,M,D,2,voting,82
82093170,-0.0231065336446064,COX,EDWARD,H,GA,M,D,2,voting,82
82093180,-0.0522490027454924,CRAWFORD,FRED,H,MI,M,R,8,voting,82
82093190,-0.00599366543333333,DENNY,HARMAR,H,PA,M,R,29,voting,82
82093200,-0.0680460679263691,DOUGHTON,ROBERT,H,NC,M,D,9,voting,82
82093211,-0.0445224475,DUFF,JAMES,S,PA,M,R,,voting,82
82093220,0.0490280696785714,EATON,CHARLES,H,NJ,M,R,5,voting,82
82093230,-0.0183997279619048,ELSTON,CHARLES,H,OH,M,R,1,voting,82
82093240,0.0198858090588235,FELLOWS,FRANK,H,ME,M,R,3,voting,82
82093250,-0.0649068756428571,FUGATE,THOMAS,H,VA,M,D,9,voting,82
82093260,-0.0074313193982906,FURCOLO,JOHN,H,MA,M,D,2,voting,82
82093271,-0.0738928676115602,GEORGE,WALTER,S,GA,M,D,,voting,82
82093280,-0.024325997,GILLETTE,WILSON,H,PA,M,R,14,voting,82
82093290,-0.0469689122791667,GOSSETT,ED,H,TX,M,D,13,voting,82
82093300,-0.0437217779217391,GRANGER,WALTER,H,UT,M,D,1,voting,82
82093310,-0.0317770078333333,GREENWOOD,ERNEST,H,NY,M,D,1,voting,82
82093330,-0.0627550905,HALL,LEONARD,H,NY,M,R,2,voting,82
82093340,-0.0213465330381818,HAVENNER,FRANCK,H,CA,M,D,4,voting,82
82093350,-0.04544539938,HEDRICK,ERLAND,H,WV,M,D,6,voting,82
82093360,-0.001798655,HEFFERNAN,JAMES,H,NY,M,D,11,voting,82
82093370,-0.0173735280501031,HERTER,CHRISTIAN,H,MA,M,R,10,voting,82
82093381,-0.0782429890204301,HOEY,CLYDE,S,NC,M,D,,voting,82
82093390,-0.00967656044444444,IRVING,THEODORE,H,MO,M,D,4,voting,82
82093400,-0.025281981,JENISON,EDWARD,H,IL,M,R,23,voting,82
82093410,-0.0308132766714286,JONES,HAMILTON,H,NC,M,D,10,voting,82
82093420,0.005172055,KEE,JOHN,H,WV,M,D,5,voting,82
82093430,-0.0293830339,KERR,JOHN,H,NC,M,D,2,voting,82
82093440,-0.0744158379,LARCADE,HENRY,H,LA,M,D,7,voting,82
82093451,-0.0319376698984985,LEHMAN,HERBERT,S,NY,M,D,,voting,82
82093460,-0.002032219,LIND,JAMES,H,PA,M,D,21,voting,82
82093470,-0.023152517,MAGEE,CLARE,H,MO,M,D,1,voting,82
82093481,-0.0526773394292774,MCCARRAN,PATRICK,S,NV,M,D,,voting,82
82093490,-0.0421161385776471,MCGRATH,CHRISTOPHER,H,NY,M,D,26,voting,82
82093500,-0.0488658560909091,MCGUIRE,JOHN,H,CT,M,D,3,voting,82
82093510,-0.0431669423176923,MCKINNON,CLINTON,H,CA,M,D,23,voting,82
82093521,0.0118826611401437,MCMAHON,BRIEN,S,CT,M,D,,voting,82
82093530,-0.0362941033333333,MCMULLEN,CHESTER,H,FL,M,D,1,voting,82
82093541,-0.0528883680945217,MILLIKIN,EUGENE,S,CO,M,R,,voting,82
82093550,-0.0561707198636364,MITCHELL,HUGH,H,WA,M,D,1,voting,82
82093561,-0.0428732170054915,MOODY,ARTHUR,S,MI,M,D,,voting,82
82093570,-0.059767073677181,MURDOCK,JOHN,H,AZ,M,D,1,voting,82
82093580,-0.026087025,MURPHY,JAMES,H,NY,M,D,16,voting,82
82093590,-0.040871724,MURRAY,REID,H,WI,M,R,7,voting,82
82093600,-0.0563279273333333,ONEILL,HARRY,H,PA,M,D,10,voting,82
82093610,-0.0256287032069767,OTOOLE,DONALD,H,NY,M,D,13,voting,82
82093620,-0.0544165196666667,PICKETT,THOMAS,H,TX,M,D,7,voting,82
82093640,-0.0314864975714286,RAMSAY,ROBERT,H,WV,M,D,1,voting,82
82093650,-0.00142178280574857,RANKIN,JOHN,H,MS,M,D,1,voting,82
82093660,-0.0236207663333333,REDDEN,MONROE,H,NC,M,D,12,voting,82
82093670,-0.0934409394166667,ROSS,ROBERT,H,NY,M,R,5,voting,82
82093680,-0.0442896624614013,SABATH,ADOLPH,H,IL,M,D,7,voting,82
